"Sygnatura czasowa","Proszę podać rok urodzenia","Proszę podać swój wzrost (w centymetrach)","Proszę podać swoją wagę (w kilogramach)","Od ilu lat regularnie biegasz?","W jakim zakresie jest Twój najlepszy czas na 1km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 5km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 10km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 21,0975km - Półmaraton? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 42,195km - Maraton? (HH:MM:SS)","Ile treningów biegowych wykonujesz średnio w ciągu tygodnia?","Ile kilometrów pokonujesz średnio podczas treningów biegowych w ciągu tygodnia?","Ile razy w ciągu miesiąca wykonujesz trening szybkości?","W jakim zakresie tempa wykonujesz trening szybkości? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz trening progowy?","W jakim zakresie tempa wykonujesz trening progowy? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz trening interwałowy?","W jakim zakresie tempa wykonujesz trening interwałowy? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz podbiegi?","W jakim zakresie tempa wykonujesz podbiegi? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz wybieganie?","Jaka jest średnia ilość kilometrów wykonywana podczas jednego wybiegania?","W jakim zakresie tempa wykonujesz wybieganie? (w minutach na kilometr)","Czy wykonujesz treningi inne niż biegowe?","Jakie typy treningów, poza biegowymi, wykonujesz?","Ile razy w ciągu miesiąca wykonujesz powyższe treningi? (sumarycznie)","Ile minut średnio trwa pojedynczy trening?","Czy wykonujesz aktywności związane z odnową biologiczną?","Jakie aktywności związane z odnową biologiczną wykonujesz?","Ile razy w ciągu miesiąca wykonujesz powyższe aktywności? (sumarycznie)","Ile razy w ciągu roku stosujesz roztrenowanie?","Jaki jest Twój średni czas trwania roztrenowania? (w dniach)","Czy stosujesz rozgrzewkę przed treningiem biegowym?","Jaki jest średni czas trwania rozgrzewki? (w minutach)"
"2021/05/17 6:07:03 PM CET","1995","181","88","0","od 00:05:31 do 00:06:00","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","2","8","1","od 00:06:01 i powyżej","0","od 00:06:01 i powyżej","1","od 00:02:31 do 00:03:00","1","od 00:06:01 i powyżej","2","8","od 00:06:31 do 00:07:00","Nie","","","","Nie","","","5","60","Czasem","5"
"2021/05/17 6:08:59 PM CET","1995","188","84","3","od 00:03:01 do 00:03:30","od 00:19:01 do 00:21:00","od 00:40:01 do 00:45:00","od 01:30:01 do 01:40:00","od 03:55:01 do 04:10:00","4","40","4","od 00:03:31 do 00:04:00","4","od 00:04:31 do 00:05:00","4","od 00:04:01 do 00:04:30","4","od 00:04:01 do 00:04:30","4","18","od 00:05:31 do 00:06:00","Tak","Rower;Pilates","10","20","Tak","Rozciąganie/Joga;Rolowanie","20","2","14","Regularnie","5"
"2021/05/17 6:42:49 PM CET","1981","181","72","5","od 00:03:01 do 00:03:30","od 00:21:01 do 00:23:00","od 00:40:01 do 00:45:00","od 01:30:01 do 01:40:00","od 03:40:01 do 03:55:00","2","25","1","od 00:04:01 do 00:04:30","1","od 00:04:01 do 00:04:30","1","od 00:04:01 do 00:04:30","1","od 00:05:01 do 00:05:30","1","15","od 00:05:31 do 00:06:00","Nie","","","","Nie","","","0","0","Czasem","2"
"2021/05/17 6:43:06 PM CET","1977","161","60","11","od 00:05:01 do 00:05:30","od 00:23:01 do 00:25:00","od 00:50:01 do 00:55:00","od 01:50:01 do 02:00:00","od 04:25:01 do 04:40:00","5","100","1","od 00:04:31 do 00:05:00","4","od 00:06:01 i powyżej","1","od 00:05:31 do 00:06:00","4","od 00:05:31 do 00:06:00","15","25","od 00:06:31 do 00:07:00","Tak","Trening siłowy","6","60","Tak","Rolowanie;Masaż","20","1","21","Nigdy","0"
"2021/05/17 6:43:40 PM CET","1981","166","55","6","od 00:04:31 do 00:05:00","od 00:25:01 do 00:27:00","od 00:50:01 do 00:55:00","od 01:50:01 do 02:00:00","od 04:10:01 do 04:25:00","3","50","4","od 00:04:01 do 00:04:30","4","od 00:04:01 do 00:04:30","4","od 00:04:01 do 00:04:30","0","od 00:06:01 i powyżej","4","20","od 00:06:01 do 00:06:30","Tak","Trening siłowy;Crossfit/HIIT;Rower","8","50","Tak","Rozciąganie/Joga;Rolowanie;Sauna","10","1","21","Nigdy","0"
"2021/05/17 6:45:12 PM CET","1984","174","65","1","od 00:03:31 do 00:04:00","od 00:33:01 do 00:35:00","od 00:50:01 do 00:55:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 04:10:01 do 04:25:00","3","30","0","od 00:05:31 do 00:06:00","2","od 00:05:31 do 00:06:00","4","od 00:05:01 do 00:05:30","4","od 00:04:31 do 00:05:00","4","10","od 00:05:31 do 00:06:00","Tak","Trening siłowy;Rower","12","90","Tak","Rolowanie;Sauna","3","0","0","Czasem","15"
"2021/05/17 6:46:43 PM CET","1961","164","65","6","od 00:05:01 do 00:05:30","od 00:27:01 do 00:29:00","od 01:00:01 do 01:05:00","od 02:20:01 do 02:30:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3 ","28","3","od 00:05:31 do 00:06:00","2","od 00:06:01 i powyżej","2","od 00:06:01 i powyżej","2","od 00:06:01 i powyżej","3","14","od 00:07:01 i powyżej","Tak","Pływanie;Rower","8","45","Tak","Rozciąganie/Joga;Masaż","8","2","10","Zawsze","10"
"2021/05/17 6:47:30 PM CET","1984","186","93","2","od 00:04:31 do 00:05:00","od 00:23:01 do 00:25:00","od 00:50:01 do 00:55:00","od 02:00:01 do 02:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","25","2","od 00:04:31 do 00:05:00","1","od 00:05:01 do 00:05:30","2","od 00:04:01 do 00:04:30","4","od 00:04:01 do 00:04:30","4","1","od 00:05:31 do 00:06:00","Nie","","","","Nie","","","1","7","Czasem","5"
"2021/05/17 6:49:43 PM CET","1967","180","86","0","od 00:07:01 i powyżej","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","0","0","2","od 00:02:31 do 00:03:00","0","od 00:06:01 i powyżej","2","od 00:02:00 do 00:02:30","0","od 00:06:01 i powyżej","1","5","od 00:05:31 do 00:06:00","Tak","Rower","15","90","Nie","","","100","30","Nigdy","0"
"2021/05/17 6:49:47 PM CET","1976","170","62","1","od 00:05:31 do 00:06:00","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","od 02:10:01 do 02:20:00","Nigdy nie biegłam/nie biegłem takiego dystansu","4","30","2","od 00:04:31 do 00:05:00","4","od 00:06:01 i powyżej","2","od 00:05:01 do 00:05:30","2","od 00:05:01 do 00:05:30","4","10","od 00:06:01 do 00:06:30","Tak","Pływanie;Taniec/Zumba/Pole Dance;Ścianka wspinaczkowa","18","60","Tak","Rozciąganie/Joga;Rolowanie;Masaż;Sauna","4","1","7","Regularnie","5"
"2021/05/17 6:50:05 PM CET","1987","185","86","4","od 00:03:31 do 00:04:00","od 00:21:01 do 00:23:00","od 00:45:01 do 00:50:00","od 01:40:01 do 01:50:00","od 03:25:01 do 03:40:00","4","60","2","od 00:03:01 do 00:03:30","1","od 00:05:01 do 00:05:30","2","od 00:03:01 do 00:03:30","4","od 00:05:31 do 00:06:00","6","25","od 00:06:31 do 00:07:00","Tak","Trening siłowy;Rower","10","60","Nie","","","1","20","Czasem","5"
"2021/05/17 6:51:32 PM CET","1984","172","67","9","od 00:02:30 do 00:03:00","od 00:17:01 do 00:19:00","od 00:35:01 do 00:40:00","od 01:20:01 do 01:30:00","od 03:10:01 do 03:25:00","4","60","1","od 00:03:01 do 00:03:30","5","od 00:04:01 do 00:04:30","1","od 00:03:31 do 00:04:00","1","od 00:04:01 do 00:04:30","16","20","od 00:04:31 do 00:05:00","Tak","Crossfit/HIIT","20","30","Nie","","","1","10","Czasem","2"
"2021/05/17 6:52:37 PM CET","1983","162","74","4","od 00:05:01 do 00:05:30","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","od 02:00:01 do 02:10:00","od 04:55:01 do 05:10:00","4","40","2","od 00:05:01 do 00:05:30","4","od 00:05:31 do 00:06:00","3","od 00:04:31 do 00:05:00","2","od 00:06:01 i powyżej","5","15","od 00:06:31 do 00:07:00","Tak","Trening siłowy;Rower;Joga","5","30","Tak","Rozciąganie/Joga;Rolowanie","10","0","0","Czasem","10"
"2021/05/17 6:53:06 PM CET","1982","170","90","1 ","od 00:07:01 i powyżej","od 00:37:01 i powyżej","od 01:15:01 do 01:20:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","3","30","4","od 00:06:01 i powyżej","4","od 00:06:01 i powyżej","4","od 00:06:01 i powyżej","0","od 00:06:01 i powyżej","8","10","od 00:07:01 i powyżej","Tak","Rower;Nordic walking, slow jogging ","15","90","Tak","Rolowanie","25","1","7","Czasem","5"
"2021/05/17 6:53:07 PM CET","1985","178","87","6","od 00:03:31 do 00:04:00","od 00:21:01 do 00:23:00","od 00:45:01 do 00:50:00","od 01:40:01 do 01:50:00","od 03:55:01 do 04:10:00","3","45","1","od 00:03:31 do 00:04:00","2","od 00:05:01 do 00:05:30","1","od 00:04:31 do 00:05:00","1","od 00:04:31 do 00:05:00","2","15","od 00:05:31 do 00:06:00","Tak","Trening siłowy;Rower","13","60","Nie","","","2","14","Regularnie","15"
"2021/05/17 6:53:15 PM CET","1980","160","60","2","od 00:04:31 do 00:05:00","od 00:25:01 do 00:27:00","od 00:55:01 do 01:00:00","od 02:00:01 do 02:10:00","od 04:40:01 do 04:55:00","3","13","1","od 00:04:31 do 00:05:00","1","od 00:05:31 do 00:06:00","1","od 00:05:01 do 00:05:30","1","od 00:04:31 do 00:05:00","1","15","od 00:06:01 do 00:06:30","Tak","Trening siłowy;Pilates","2","40","Nie","","","10","5","Czasem","5"
"2021/05/17 6:54:31 PM CET","1986","164","63","2","od 00:05:01 do 00:05:30","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","od 02:20:01 do 02:30:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","40","6","od 00:03:31 do 00:04:00","4","od 00:05:31 do 00:06:00","8","od 00:05:01 do 00:05:30","3","od 00:04:31 do 00:05:00","4","15","od 00:06:31 do 00:07:00","Tak","Trening siłowy;Pilates;Taniec/Zumba/Pole Dance","8","45","Nie","","","0","0","Czasem","5"
"2021/05/17 6:54:33 PM CET","1977","166","64","5","od 00:04:01 do 00:04:30","od 00:23:01 do 00:25:00","od 00:45:01 do 00:50:00","od 01:50:01 do 02:00:00","od 03:55:01 do 04:10:00","3","60","3","od 00:04:31 do 00:05:00","2","od 00:05:01 do 00:05:30","1","od 00:04:01 do 00:04:30","1","od 00:03:31 do 00:04:00","5","18","od 00:06:01 do 00:06:30","Tak","Trening siłowy","6","10","Tak","Rozciąganie/Joga;Rolowanie","10","1","14","Czasem","5"
"2021/05/17 6:57:05 PM CET","1977","172","72","3","od 00:04:01 do 00:04:30","od 00:21:01 do 00:23:00","od 00:45:01 do 00:50:00","od 01:40:01 do 01:50:00","od 03:40:01 do 03:55:00","5","75","3","od 00:03:31 do 00:04:00","2","od 00:05:01 do 00:05:30","2","od 00:04:01 do 00:04:30","2","od 00:02:31 do 00:03:00","4","25","od 00:06:01 do 00:06:30","Tak","Trening siłowy;Rower","4","60","Tak","Rozciąganie/Joga;Rolowanie;Masaż","20","1","15 ","Czasem","15"
"2021/05/17 6:57:07 PM CET","1973","160","68","5","od 00:05:31 do 00:06:00","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","od 02:00:01 do 02:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","20","2","od 00:04:31 do 00:05:00","2","od 00:06:01 i powyżej","2","od 00:04:31 do 00:05:00","1","od 00:05:01 do 00:05:30","3","10","od 00:06:01 do 00:06:30","Tak","Rower","15","30","Tak","Rozciąganie/Joga;Rolowanie;Masaż","10","3","7","Czasem","10"
"2021/05/17 7:04:24 PM CET","1984","170","68","4 ","od 00:05:31 do 00:06:00","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","od 02:00:01 do 02:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","4","45","4","od 00:05:31 do 00:06:00","0","Nie wykonuję takich treningów","4","od 00:05:01 do 00:05:30","4","od 00:05:31 do 00:06:00","4","25","od 00:06:31 do 00:07:00","Tak","Trening siłowy;Rower","10","60","Nie","","","1","10","Czasem","5"
"2021/05/17 7:08:22 PM CET","1987","169","70","6","od 00:03:31 do 00:04:00","od 00:19:01 do 00:21:00","od 00:40:01 do 00:45:00","od 01:30:01 do 01:40:00","od 03:40:01 do 03:55:00","4","12","3","od 00:03:31 do 00:04:00","3","od 00:04:01 do 00:04:30","2","od 00:03:31 do 00:04:00","1","od 00:03:31 do 00:04:00","2","15","od 00:05:31 do 00:06:00","Nie","","","","Nie","","","1","40","Czasem","5"
"2021/05/17 7:16:14 PM CET","1989","168","57","3","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:23:01 do 00:25:00","od 00:55:01 do 01:00:00","od 02:00:01 do 02:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","45","2","od 00:03:31 do 00:04:00","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","7","15","od 00:05:31 do 00:06:00","Nie","","","","Nie","","","1","12","Zawsze","3"
"2021/05/17 7:27:35 PM CET","1986","186","93","3","od 00:04:01 do 00:04:30","od 00:21:01 do 00:23:00","od 00:40:01 do 00:45:00","od 01:40:01 do 01:50:00","od 03:40:01 do 03:55:00","4","55","4","od 00:04:01 do 00:04:30","4","od 00:04:31 do 00:05:00","4","od 00:04:31 do 00:05:00","3","od 00:05:01 do 00:05:30","4","16","od 00:05:31 do 00:06:00","Tak","Trening siłowy;Piłka nożna","4","45","Tak","Rozciąganie/Joga;Rolowanie;Masaż;Sauna","18","2","14","Czasem","10"
"2021/05/17 7:28:35 PM CET","1973","185","98","1","od 00:03:31 do 00:04:00","od 00:21:01 do 00:23:00","od 00:55:01 do 01:00:00","od 02:20:01 do 02:30:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","10","1","od 00:03:01 do 00:03:30","0","Nie wykonuję takich treningów","1","od 00:04:31 do 00:05:00","1","od 00:05:31 do 00:06:00","1","10","od 00:06:31 do 00:07:00","Tak","Ogolne","10","10","Nie","","","0","0","Czasem","10"
"2021/05/17 7:31:49 PM CET","1982","200","100","1","od 00:05:01 do 00:05:30","od 00:31:01 do 00:33:00","od 01:00:01 do 01:05:00","od 02:20:01 do 02:30:00","Nigdy nie biegłam/nie biegłem takiego dystansu","4","40","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","2","od 00:06:01 i powyżej","0","Nie wykonuję takich treningów","0","0","Nie wykonuję takich treningów","Nie","","","","Nie","","","0","0","Nigdy","0"
"2021/05/17 7:33:53 PM CET","1975","178","69","6","od 00:03:01 do 00:03:30","od 00:17:01 do 00:19:00","od 00:35:01 do 00:40:00","od 01:20:01 do 01:30:00","od 02:55:01 do 03:10:00","6","110","2","od 00:03:01 do 00:03:30","2","od 00:04:01 do 00:04:30","2","od 00:03:31 do 00:04:00","2","od 00:03:01 do 00:03:30","2","29","od 00:04:31 do 00:05:00","Tak","Trening siłowy;Rower","10","70","Nie","","","2","14","Zawsze","15"
