,id,year_of_birth,height,weight,running_years,time_1km_id,time_5km_id,time_10km_id,time_21km_id,time_42km_id,training_amount,km_amount,speed_training_amount,minute_per_km_speed_training_id,threshold_training_amount,minute_per_km_threshold_training_id,interval_training_amount,minute_per_km_interval_training_id,run_up_training_amount,minute_per_km_run_up_training_id,runway_amount,km_per_runway,minute_per_km_runway_id,other_trainings,other_trainings_amount,other_trainings_time,wellness,wellness_amount,detraining_amount,detraining_days,warmup_id,warmup_time
0,1,1995,181,88,0,7,8,6,12,14,2,8,1,11,0,11,1,2,1,11,2,8,10,0,0,0,0,0,5,60,3,5
1,2,1995,188,84,3,2,4,3,4,8,4,40,4,4,4,6,4,5,4,5,4,18,8,1,10,20,1,20,2,14,2,5
2,3,1981,181,72,5,2,5,3,4,7,2,25,1,5,1,5,1,5,1,7,1,15,8,0,0,0,0,0,0,0,3,2
3,4,1977,161,60,11,6,6,5,6,10,5,100,1,6,4,11,1,8,4,8,15,25,10,1,6,60,1,20,1,21,4,0
4,5,1981,166,55,6,5,7,5,6,9,3,50,4,5,4,5,4,5,0,11,4,20,9,1,8,50,1,10,1,21,4,0
5,6,1984,174,65,1,3,11,5,12,9,3,30,0,8,2,8,4,7,4,6,4,10,8,1,12,90,1,3,0,0,3,15
6,7,1961,164,65,6,6,8,7,9,14,3,28,3,8,2,11,2,11,2,11,3,14,12,1,8,45,1,8,2,10,1,10
7,8,1984,186,93,2,5,6,5,7,14,3,25,2,6,1,7,2,5,4,5,4,1,8,0,0,0,0,0,1,7,3,5
8,9,1967,180,86,0,10,14,12,12,14,0,0,2,2,0,11,2,1,0,11,1,5,8,1,15,90,0,0,100,30,4,0
9,10,1976,170,62,1,7,8,6,8,14,4,30,2,6,4,11,2,7,2,7,4,10,9,1,18,60,1,4,1,7,2,5
10,11,1987,185,86,4,3,5,4,5,6,4,60,2,3,1,7,2,3,4,8,6,25,10,1,10,60,0,0,1,20,3,5
11,12,1984,172,67,9,1,3,2,3,5,4,60,1,3,5,5,1,4,1,5,16,20,6,1,20,30,0,0,1,10,3,2
12,13,1983,162,74,4,6,8,6,7,12,4,40,2,7,4,8,3,6,2,11,5,15,10,1,5,30,1,10,0,0,3,10
13,14,1982,170,90,1,10,13,10,12,14,3,30,4,11,4,11,4,11,0,11,8,10,12,1,15,90,1,25,1,7,3,5
14,15,1985,178,87,6,3,5,4,5,8,3,45,1,4,2,7,1,6,1,6,2,15,8,1,13,60,0,0,2,14,2,15
15,16,1980,160,60,2,5,7,6,7,11,3,13,1,6,1,8,1,7,1,6,1,15,9,1,2,40,0,0,10,5,3,5
16,17,1986,164,63,2,6,8,6,9,14,3,40,6,4,4,8,8,7,3,6,4,15,10,1,8,45,0,0,0,0,3,5
17,18,1977,166,64,5,4,6,4,6,8,3,60,3,6,2,7,1,5,1,4,5,18,9,1,6,10,1,10,1,14,3,5
18,19,1977,172,72,3,4,5,4,5,7,5,75,3,4,2,7,2,5,2,2,4,25,9,1,4,60,1,20,1,15,3,15
19,20,1973,160,68,5,7,8,6,7,14,3,20,2,6,2,11,2,6,1,7,3,10,9,1,15,30,1,10,3,7,3,10
20,21,1984,170,68,4,7,8,6,7,14,4,45,4,8,0,13,4,7,4,8,4,25,10,1,10,60,0,0,1,10,3,5
21,22,1987,169,70,6,3,4,3,4,7,4,12,3,4,3,5,2,4,1,4,2,15,8,0,0,0,0,0,1,40,3,5
22,23,1989,168,57,3,11,6,6,7,14,3,45,2,4,0,13,0,13,0,13,7,15,8,0,0,0,0,0,1,12,1,3
23,24,1986,186,93,3,4,5,3,5,7,4,55,4,5,4,6,4,6,3,7,4,16,8,1,4,45,1,18,2,14,3,10
24,25,1973,185,98,1,3,5,6,9,14,3,10,1,3,0,13,1,6,1,8,1,10,10,1,10,10,0,0,0,0,3,10
